"Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","NumCompaniesWorked","OverTime","PercentSalaryHike","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
41,"Yes","Non-Travel","HR",1,"College","Other","Medium","Female","High","2","ResearchDir","Very High","Divorced",5993,8,"No",11,"Low","0",8,0,"Low",6,4,0,5
49,"No","Frequently","R&D",8,"Below College","Other","High","Male","Medium","2","SalesRep","Medium","Married",5130,1,"Yes",23,"Very High","1",10,3,"High",10,7,1,7
37,"Yes","Non-Travel","R&D",2,"College","Tech","Very High","Male","Medium","1","LabTech","High","Divorced",2090,6,"No",15,"Medium","0",7,3,"High",0,0,0,0
33,"No","Frequently","R&D",3,"Master","Other","Very High","Female","High","1","SalesRep","High","Married",2909,1,"No",11,"High","0",8,3,"High",8,7,3,0
27,"No","Non-Travel","R&D",2,"Below College","Marketing","Low","Male","High","1","LabTech","Medium","Married",3468,9,"Yes",12,"Very High","1",6,3,"High",2,2,2,2
32,"No","Frequently","R&D",2,"College","Other","Very High","Male","High","1","LabTech","Very High","Divorced",3068,0,"Yes",13,"High","0",8,2,"Medium",7,7,3,6
59,"No","Non-Travel","R&D",3,"Bachelor","Marketing","High","Female","Very High","1","LabTech","Low","Married",2670,4,"No",20,"Low","3",12,3,"Medium",1,0,0,0
30,"No","Non-Travel","R&D",24,"Below College","Other","Very High","Male","High","1","LabTech","High","Single",2693,1,"Yes",22,"Medium","1",1,2,"High",1,0,0,0
38,"No","Frequently","R&D",23,"Bachelor","Other","Very High","Male","Medium","3","HealthcareRep","High","Divorced",9526,0,"Yes",21,"Medium","0",10,2,"High",9,7,1,8
36,"No","Non-Travel","R&D",27,"Bachelor","Marketing","High","Male","High","2","SalesExec","High","Married",5237,6,"Yes",13,"Medium","2",17,3,"Medium",7,7,7,7
35,"No","Non-Travel","R&D",16,"Bachelor","Marketing","Low","Male","Very High","1","LabTech","Medium","Married",2426,0,"Yes",13,"High","1",6,5,"High",5,4,0,3
29,"No","Non-Travel","R&D",15,"College","Other","Very High","Female","Medium","2","LabTech","High","Divorced",4193,0,"No",12,"Very High","0",10,3,"High",9,5,0,8
31,"No","Non-Travel","R&D",26,"Below College","Other","Low","Male","High","1","SalesRep","High","Single",2911,1,"Yes",17,"Very High","1",5,1,"Medium",5,2,4,3
34,"No","Non-Travel","R&D",19,"College","Marketing","Medium","Male","High","1","LabTech","Very High","Single",2661,0,"Yes",11,"High","1",3,2,"High",2,2,1,2
28,"Yes","Non-Travel","R&D",24,"Bachelor","Other","High","Male","Medium","1","LabTech","High","Divorced",2028,5,"No",14,"Medium","0",6,4,"High",4,2,0,3
29,"No","Non-Travel","R&D",21,"Master","Other","Medium","Female","Very High","3","HealthcareRep","Low","Single",9980,1,"Yes",11,"High","1",10,1,"High",10,9,8,8
32,"No","Non-Travel","R&D",5,"College","Other","Low","Male","Very High","1","SalesRep","Medium","Single",3298,0,"No",12,"Very High","2",7,5,"Medium",6,2,0,5
22,"No","Rarely","R&D",16,"College","Marketing","Very High","Male","Very High","1","LabTech","Very High","Single",2935,1,"No",13,"Medium","2",1,2,"Medium",1,0,0,0
53,"No","Non-Travel","HR",2,"Master","Other","Low","Female","Medium","4","ManufacturingDir","Very High","Married",15427,2,"Yes",16,"High","0",31,3,"High",25,8,3,7
38,"No","Non-Travel","R&D",2,"Bachelor","Other","Very High","Male","High","1","SalesRep","Very High","Divorced",3944,5,"No",11,"High","0",6,3,"High",3,2,1,2
24,"No","Rarely","R&D",11,"College","Tech","Low","Female","Very High","2","HealthcareRep","High","Single",4011,0,"Yes",18,"Very High","1",5,5,"Medium",4,2,1,3
36,"Yes","Non-Travel","HR",9,"Master","Other","High","Male","Medium","1","HR Personnel","Low","Divorced",3407,7,"Yes",23,"Medium","0",10,4,"High",5,3,0,3
34,"No","Non-Travel","R&D",7,"Master","Other","Low","Female","High","3","Mgr","Medium","Divorced",11994,0,"Yes",11,"High","0",13,4,"High",12,6,2,11
21,"No","Non-Travel","R&D",15,"College","Other","High","Male","High","1","SalesRep","Very High","Divorced",1232,1,"Yes",14,"Very High","0",0,6,"High",0,0,0,0
34,"Yes","Non-Travel","R&D",6,"Below College","Marketing","Medium","Male","High","1","SalesRep","Low","Divorced",2960,2,"Yes",11,"High","0",8,2,"High",4,2,1,3
53,"No","Non-Travel","R&D",5,"Bachelor","Tech","High","Female","High","5","ManufacturingDir","High","Single",19094,4,"Yes",11,"Very High","1",26,3,"Medium",14,13,4,8
32,"Yes","Frequently","R&D",16,"Below College","Other","Medium","Female","Low","1","SalesRep","Low","Divorced",3919,1,"No",22,"Medium","0",10,5,"High",10,2,6,7
42,"No","Non-Travel","HR",8,"Master","Medical","High","Male","High","2","ResearchDir","Medium","Married",6825,0,"Yes",11,"Very High","1",10,2,"High",9,7,4,2
44,"No","Non-Travel","R&D",7,"Master","Marketing","Low","Female","Medium","3","SalesExec","Very High","Married",10248,3,"Yes",14,"Very High","1",24,4,"High",22,6,5,17
46,"No","Non-Travel","HR",2,"Master","Medical","Medium","Female","High","5","ManufacturingDir","Low","Divorced",18947,3,"Yes",12,"Very High","0",22,2,"Medium",2,2,2,1
33,"No","Non-Travel","R&D",2,"Bachelor","Marketing","High","Male","High","1","LabTech","Very High","Divorced",2496,4,"Yes",11,"Very High","0",7,3,"High",1,1,0,0
44,"No","Non-Travel","R&D",10,"Master","Tech","Very High","Male","High","2","SalesExec","Very High","Married",6465,2,"No",13,"Very High","0",9,5,"Very High",4,2,1,3
30,"No","Non-Travel","R&D",9,"College","Marketing","Very High","Male","Medium","1","LabTech","High","Divorced",2206,1,"Yes",13,"Low","0",10,5,"High",10,0,1,8
39,"Yes","Non-Travel","HR",5,"Bachelor","HR","Very High","Male","High","2","HR Personnel","Very High","Married",2086,3,"Yes",14,"High","1",19,6,"Very High",1,0,0,0
24,"Yes","Non-Travel","R&D",1,"Bachelor","Marketing","Medium","Male","High","1","SalesRep","Very High","Married",2293,2,"No",16,"Low","1",6,2,"Medium",2,0,2,0
43,"No","Non-Travel","R&D",2,"College","Marketing","Very High","Female","Very High","1","SalesRep","High","Single",2645,1,"Yes",12,"Very High","2",6,3,"Medium",5,3,1,4
50,"Yes","Non-Travel","HR",3,"College","Medical","Low","Male","Medium","1","HR Personnel","High","Married",2683,1,"No",14,"High","0",3,2,"High",3,2,0,2
35,"No","Non-Travel","HR",2,"Bachelor","Medical","Very High","Female","High","1","HR Personnel","Very High","Married",2014,1,"Yes",13,"Low","0",2,3,"High",2,2,2,2
36,"No","Non-Travel","R&D",5,"Master","Other","Medium","Female","Medium","1","SalesRep","Low","Married",3419,9,"No",14,"Very High","1",6,3,"Very High",1,1,0,0
33,"No","Frequently","HR",1,"Bachelor","Other","High","Female","Very High","2","ResearchDir","Low","Married",5376,2,"Yes",19,"Low","2",10,3,"High",5,3,1,3
35,"No","Non-Travel","R&D",4,"College","Tech","High","Male","High","1","LabTech","Very High","Single",1951,1,"Yes",12,"High","1",1,3,"High",1,0,0,0
27,"No","Non-Travel","R&D",2,"Master","Other","Very High","Female","High","1","LabTech","Low","Single",2341,1,"Yes",13,"Very High","1",1,6,"High",1,0,0,0
26,"Yes","Non-Travel","R&D",25,"Bachelor","Other","Low","Male","Low","1","LabTech","High","Divorced",2293,1,"Yes",12,"High","0",1,2,"Medium",1,0,0,1
27,"No","Frequently","HR",8,"Bachelor","Other","Very High","Male","High","3","ResearchDir","High","Divorced",8726,1,"Yes",15,"Very High","0",9,0,"High",9,8,1,7
30,"No","Frequently","R&D",1,"College","Marketing","High","Female","High","2","LabTech","Very High","Divorced",4011,1,"Yes",23,"Very High","0",12,2,"High",12,8,3,7
41,"Yes","Non-Travel","R&D",12,"Bachelor","HR","Medium","Female","High","5","Mgr","High","Married",19545,1,"Yes",12,"Very High","0",23,0,"High",22,15,15,8
